Message,Extracted,Expected
Arriving Today: Srinu order partner 914067820390 PIN 6292. Track opt contactless //track/D813EABEA027896BCA6A8258E27B5D15/Fwd/ .Please share delivery code 9825 delivery partner confirmation status. - Shadowfax,6292,9825
760820 Flipkart code valid 10 minutes. share OTP anyone. 378658,378658,760820
378682 Flipkart code valid 10 minutes. share OTP anyone. 378658,378658,378682
Jio Delivery Code 825609. Please share representative receiving SIM delivery doorstep activation. SHARE CALL doorstep activation provided. Jio ask password OTP codes call. Jio Express request serviced Nanthakumar Mob-9789957671. Kindly provide valid POI/POA Jio Representative KYC. present address KYC activation process.,nan,825609
Slot Booking/Cancellation for Application: 832752,832752,nan
Enjoy unlimited high-speed data 12 6 every day /ViNFR 1699:4GB/DUL84D 2599:1.5GB/DUL84D5GB28D,1699,nan
"BAZAR INDIA EXTRA FREE SHOPPING FESTIVAL

FREE 250/600/1000 SHOPPING ON 1000/2000/3000.

ALSO GET FREE SHOPPING VOUCHERS WORTH 2000. TCA

9949098465",1000,nan
Arriving Today: Imran order partner 914461710281 PIN 6373. Track opt contactless //track/25AEBB10A6112196BB637BB3271CEB43/Fwd/ .Please share delivery code 1976 delivery partner confirmation status. - Shadowfax,6373,1976
otp for online purchase of Rs. 1000.00 at PAYTM thru State Bank Debit Card 4591*****13 is 674752. Do not share this with anyone.,4591,674752
otp for forgot password recovery of user id **rthi0 is 259181-IRCTC,nan,259181
otp for forgot password recovery of user id **rthi0 is 411551-IRCTC,nan,411551
"Dear Customer, otp TO INITIATE E-MANDATE SBI REQUEST ID MN2212206204146 OF RS. 1 IN A/C NO. XXXX3249 IS 63007588. DO NOT SHARE IT WITH ANYONE. -SBI",nan,63007588
Arriving Today: Your Imran order with partner 914461710281 PIN 6373. Track and opt for contactless delivery:https://tracker.shadowfax.in/#/track/25AEBB10A6112196BB637BB3271CEB43/Fwd/ .Please share the delivery code 1976 with the delivery partner for confirmation on status. - Shadowfax,6373,1976
Ecom Express Executive 08046809000 PIN 37225 will deliver your https://shopee/ AWB 9116374275 today. Rs 105.0 payable. Delivery code 557210,37225,557210
Default user pin: 0000,nan,0000
OTP online purchase Rs. 1000.00 One97 Communications thru State Bank Debit Card 459113 885937. share anyone.,459113,885937
OTP online purchase Rs. 1000.00 PAYTM thru State Bank Debit Card 459113 541662. share anyone.,459113,541662
Arriving Today: Srinu order partner 914071153148 PIN 7932. Track opt contactless /zwyJan .Please share delivery code 2326 delivery partner confirmation status. - Shadowfax,7932,2326
Dear Sudhakar Lahu Shambharkar eligible may avail precaution dose 26-04-2022. Please visit - CoWIN,2022,nan
Hi 63065557XX RPL 11 Finale Junglee Rummy Prize Pool: 224570 2.5 CR Entry Fees - Win -,224570,nan
OTP online purchase Rs. 1000.00 PAYTM thru State Bank Debit Card 459113 542623. share anyone.,459113,542623
Hi 63529880XX RPL 11 Finale Junglee Rummy Prize Pool: 893429 2.5 CR Entry Fees - Win -,893429,nan
Thank you for shopping on Meesho! We'd love to hear your feedback on the item purchased. Click here sprw.io/sntt-2e1caf?o_id=630127992&u_id=7733613 Meesho,7733613,nan
otp for online purchase of Rs. 1000.00 at PAYTM thru State Bank Debit Card 4591*****13 is 541662. Do not share this with anyone.,4591,541662
"Out for Delivery: Candes Lynx 1200 mm Ul... with tracking ID FMPC1546948423 from flipkart.com, will be delivered today by an EKART Wish Master (call 04440114101, PIN 170). Please check with the Wishmaster if you can pay using SMS payment link. To know about safety measures taken to ensure a safe delivery of your order, click here: http://ekrt.in/p5DjdxuuuN .",1200,nan
Slot Booking/Cancellation for Application: 149461,149461,nan
Beneficiary (Bene Name: GOPINATH S) added by you on 28-FEB-2022 at 10:07 PM to your KVB - DLite account is activated and you shall initiate transactions now,2022,nan
otp for mobile no verification of user id Karthi189 is 772651-IRCTC,nan,772651
otp for online purchase of Rs. 14000.00 at GURU KASHI UNIVERSIT thru State Bank Debit Card 5446*****63 is 372595. Do not share this with anyone.,5446,372595
Vi AlertYour Unlimited Pack EXPIRING TODAY Recharge /ViRC20 1699:4GB/DUL84D 2599:1.5GB/DUL84D5GB28D 3801:UL3GB/Day48GB84D,1699,nan
otp for online purchase of Rs. 1025.00 at VODAFONEIDEA thru State Bank Debit Card 5446*****63 is 314915. Do not share this with anyone.,5446,314915
Slot Booking/Cancellation for Application: 703826,703826,nan
Dear 63693822XX 5500 Bonus Superstar Daily finale Junglee Rummy Prize Pool: 372208 Entry Fees - Win -,372208,nan
OTP for online purchase of Rs. 1000.00 at PAYTM thru State Bank Debit Card 4591*****13 is 541662. Do not share this with anyone.,4591,541662
otp for forgot password recovery of user id **rthi0 is 971458-IRCTC,nan,971458
otp for online purchase of Rs. 15.08 at Inditab Esolutions P thru State Bank Debit Card 5446*****63 is 147180. Do not share this with anyone.,5446,147180
"CENTRAL Celebrates Festival of colors.

Get Rs.4000/2000 Back as Future Pay cash on shopping of Rs.6999/3999

Extra 10% OFF on RuPay Cards. TnC bit.ly/4Smp8",2000,nan
otp for forgot password recovery of user id **rthi0 is 636720-IRCTC,nan,636720
320234 Flipkart code valid 10 minutes. share OTP anyone. 368538,368538,320234
otp for forgot password recovery of user id **rthi0 is 775243,nan,775243
"Hi Sp davawala,
You are just a tap away from selling your 2018 Maruti Suzuki Eeco for the Best Price.

SellRight by Spinny offers quick selling and instant payment.

Book a Free doorstep evaluation today. Click Here weurl.co/kkI4fB Or Call 727 727 7275",727727,nan
"Your Jio Delivery Code is 789676. Please share this with our representative only AFTER receiving SIM delivery and doorstep activation. # DO NOT SHARE ON CALL IF doorstep activation is not provided. Jio does not ask for password, otp or codes on call.Your Jio Express request will be serviced by Nanthakumar S (Mob-9789957671). Kindly provide your valid POI/POA to our Jio Representative for KYC. You will have to be present at the address for KYC activation process.",nan,789676
Jio Delivery Code 789676. Please share representative receiving SIM delivery doorstep activation. SHARE CALL doorstep activation provided. Jio ask password OTP codes call. Jio Express request serviced Nanthakumar Mob-9789957671. Kindly provide valid POI/POA Jio Representative KYC. present address KYC activation process.,nan,789676
Jio Delivery Code 561340. Please share representative receiving SIM delivery doorstep activation. SHARE CALL doorstep activation provided. Jio ask password OTP codes call. Jio Express request serviced Nanthakumar Mob-9789957671. Kindly provide valid POI/POA Jio Representative KYC. present address KYC activation process.,nan,561340
Beneficiary (Bene Name: GOPINATH S) added by you on 28-FEB-2022 at 10:07 PM to your KVB - DLite account is activated and you shall initiate transactions now,2022,nan
Go Easy this Holi at Spar-Easybuy! Celebrate in style with family starting just Rs129. Get Home Centre 4 Pc Set @ 249 on shopping of 2999. bit.ly/37nfFG4 TC,2999,nan
"Dear Customer, reset MPIN request @CANDI has been failed due to 13-Apr-2022 on 22:00:09. If not you, send SUSPECT to 56161. Helpline 18004250018.-Canara Bank",56161,nan
Dear 63693822XX 5500 Bonus Superstar Daily finale Junglee Rummy Prize Pool: 720589 Entry Fees - Win -,720589,nan
"Your a/c XXXXXXXXXXXX8571 is debited Rs. 1300.00 on 2/28/2022 10:12:26 PM to GOPINATH S .
info :P2A/205916770412 -KVB",2022,nan
Enjoy unlimited high-speed data 12 6 every day /ViNFR 1699:4GB/DUL84D 414507:1.5GB/DUL84D5GB28D,414507,nan
Vi AlertYour Unlimited Pack EXPIRING TODAY Recharge /ViRC20 1699:4GB/DUL84D 678359:1.5GB/DUL84D5GB28D 3801:UL3GB/Day48GB84D,678359,nan
Dear 63693822XX 5500 Bonus Superstar Daily finale Junglee Rummy Prize Pool: 205000 Entry Fees - Win -,205000,nan
"Out for Pickup: ORENICS 33000 mAh Powe... with tracking ID FMPR0276536979 from flipkart.com, will be picked up  before 9pm today by an EKART Wish Master (call 09174003000, PIN 174). Keep the product ready with all accessories and tags for verification.",33000,nan
"Hi Amit thakur, greetings from Paytm!
Your bus ticket has been confirmed and details are sent to apputhakur4399@gmail.com
Here are your booking details
Amritsar to Chandigarh
Zingbus
BHARAT BENZ SEMI-SLEEPER
PNR: ZB211027130521
--
Ticket No: 22D4KNW
Paytm Booking ID: 15734767880
Passengers: amit thakur
Seats: 33(M)
Boarding time: 20:00 Wed, 27 Oct 2021
Location: Bhawani Travels Hall gateBhawani Travels, Hall Gate Cir, Pink Plaza Market, Hathi Gat
Landmark: Bhawani Travels Hall gate
--
8287009889
Drop: Indo Canadian Tpt
Please check Paytm app or registered email address for complete ticket details.
For assistance contact: 0120 4880880 or https://paytm.com/care
----",4880880,nan
"Enjoy exclusive savings on every payment you make via PayZapp!
With over 2000+ merchants across Bill Payments/Grocery/Shopping & Travel hdfcbk.io/WEB4KAWE7Pfh  T&C",2000,nan
"Out for Pickup: ORENICS 33000 mAh Powe... with tracking ID FMPR0276536979 from flipkart.com, will be picked up  before 9pm today by an EKART Wish Master (call 09174003000, PIN 142). Keep the product ready with all accessories and tags for verification.",33000,nan
otp for creating your Health ID is 161513. This One Time Password will be valid for 10 mins.NHA,nan,161513
"Out for Pickup: ORENICS 33000 mAh Powe... with tracking ID FMPR0276536979 from flipkart.com, will be picked up  before 9pm today by an EKART Wish Master (call 09174003000, PIN 129). Keep the product ready with all accessories and tags for verification.",33000,nan
Liked your shopping experience? We would love to hear from you about your Lenskart order#1254826913 at https://nps.bz/LENSKART-15291847,15291847,nan
otp for creating your Health ID is 319245. This One Time Password will be valid for 10 mins.NHA,nan,319245
FB-180952 Facebook confirmation code 53158,53158,180952
FB-696456 Facebook confirmation code 53158,53158,696456
924171 Flipkart code valid 10 minutes. share OTP anyone. 113495,113495,924171
"Dear Customer, otp to process your Kotak Bank Credit Card application is 747997. This otp is valid for 15 minutes.",nan,747997
"OTP for creating your Health ID is 182810. This One Time Password will be valid for 10 mins.

NHA",nan,182810
otp for creating your Health ID is 669802. This One Time Password will be valid for 10 mins.NHA,nan,669802
"IPL Fiesta is back! Refresh Wardrobe with your Favourite Jersey colors from PETER ENGLAND Spring Collection! Also, Get FREE Rs.2000 shopping on purchase of Rs.6999 at TIRUCHIRAPPALLI Store. Valid till 31Mar.T&C.",6999,nan
otp for forgot password recovery of user id **rthi0 is 775243,nan,775243
Your SBI Debit Card ending with 8981 dispatched on 11042022 thru Speed Post No. EB049769289IN. Please follow instructions on welcome letter to generate your PIN,11042022,nan
"Out for Delivery: Candes Lynx 1200 mm Ul... with tracking ID FMPC1546948423 from flipkart.com, will be delivered today by an EKART Wish Master (call 04440114101, PIN 170). Please check with the Wishmaster if you can pay using SMS payment link. To know about safety measures taken to ensure a safe delivery of your order, click here: http://ekrt.in/p5DjdxuuuN .",1200,nan
otp for online purchase of Rs. 1025.00 at VODAFONEIDEA thru State Bank Debit Card 5446*****63 is 314915. Do not share this with anyone.,5446,314915
Enjoy unlimited high-speed data 12 6 every day /ViNFR 1699:4GB/DUL84D 2599:1.5GB/DUL84D5GB28D,1699,nan
INR 2000 debited A/c 2533 ATM ATMD/SPCN5201/CHANDIGARH/23:11 Bal 533636.1707-04-2022 23:11:57. transaction unauthorized SMS BLOCK A/c BLOCK 8828837411 click /module/complaint-lodge-grievence lodge complaint. Punjab Sind Bank,533636,nan
Thank you for shopping on Meesho! We'd love to hear your feedback on the item purchased. Click here sprw.io/sntt-2e1caf?o_id=630127992&u_id=7733613 Meesho,7733613,nan
otp for mobile no verification of user id Karthi189 is 772651-IRCTC,nan,772651
Enjoy unlimited high-speed data 12 6 every day /ViNFR 1699:4GB/DUL84D 461337:1.5GB/DUL84D5GB28D,461337,nan
Dear Sudhakar Lahu Shambharkar eligible may avail precaution dose 26-04-2022. Please visit - CoWIN,2022,nan
Hi 63065557XX RPL 11 Finale Junglee Rummy Prize Pool: 224570 2.5 CR Entry Fees - Win -,224570,nan
OTP Online Transactions Indian Bank Debit Card 4988 JDS-159337.This valid next 5 min.Dt 07-04-22 12.17,4988,159337
"LAST 2DAYS of FREE SHOPPING WEEK at CENTRAL

SHOP for Rs.3000 & GET Rs.3000 BACK TnC bit.ly/3rLi8kj

Rs500 OFF 598461815585 on Rs5999 + 10% OFF ICICI Bank cards",3000,nan
"SALARY 25000/- to 45000/- Per Month SIMPLE TYPING JOB DATA ENTRY,HAND WRITING WORK & MOBILE WORK Male/Female. Details Call Suhani 8882326925",25000,nan
OTP Online Transactions Indian Bank Debit Card 4988 JXS-177988.This valid next 5 min.Dt 07-04-22 12.32,4988,177988
"Dear Customer, otp to process your Kotak Bank Credit Card application is 409652. This otp is valid for 15 minutes.",nan,409652
INR 2000 debited A/c 2533 ATM ATMD/SPCN5201/CHANDIGARH/23:11 Bal 42858.1707-04-2022 23:11:57. transaction unauthorized SMS BLOCK A/c BLOCK 8828837411 click /module/complaint-lodge-grievence lodge complaint. Punjab Sind Bank,42858,nan
Thank you for shopping on Meesho! We'd love to hear your feedback on the item purchased. Click here sprw.io/sntt-2e1caf?o_id=836911286&u_id=7733613 Meesho,7733613,nan
Hi 63529880XX RPL 11 Finale Junglee Rummy Prize Pool: 285890 2.5 CR Entry Fees - Win -,285890,nan
Vi AlertYour Unlimited Pack EXPIRING TODAY Recharge /ViRC20 1699:4GB/DUL84D 291391:1.5GB/DUL84D5GB28D 3801:UL3GB/Day48GB84D,291391,nan
Arriving Today: Imran order partner 914461710281 PIN 6373. Track opt contactless //track/25AEBB10A6112196BB637BB3271CEB43/Fwd/ .Please share delivery code 1976 delivery partner confirmation status. - Shadowfax,6373,1976
Ecom Express Executive 08046809000 PIN 37225 will deliver your https://shopee/ AWB 9116374275 today. Rs 105.0 payable. Delivery code 557210,37225,557210
Shadowfax rider 914461710281 PIN 1771 will deliver your Anarkali order AWB SF206583905443FPL today. Attempt code 3522 Visit https://tracker.shadowfax.in,1771,3522
Shadowfax rider 914461710281 PIN 6826 will deliver your Anarkali order AWB SF206583905443FPL today. Attempt code 1383 Visit https://tracker.shadowfax.in,6826,1383
320234 Flipkart code valid 10 minutes. share OTP anyone. 368538,368538,320234
"OTP for creating your Health ID is 161513. This One Time Password will be valid for 10 mins.

NHA",nan,161513
Dear Sonabai Sudhakar Shambharkar eligible may avail precaution dose private vaccination center 26-04-2022. Please visit CoWIN,2022,nan
Thank you for shopping at KINS/KLOVE Rs.499 Qty.1Bill No.0004269 Date18-04-2022 For any query contact us at support@kinsfootwear.com,2022,nan
Hi 63065557XX RPL 11 Finale Junglee Rummy Prize Pool: 620392 2.5CR Entry Fees - Win -,620392,nan
Hi 63529880XX RPL 11 Finale Junglee Rummy Prize Pool: 893429 2.5 CR Entry Fees - Win -,893429,nan
Arriving Today: Imran order partner 914461710281 PIN 8683. Track opt contactless //track/25AEBB10A6112196BB637BB3271CEB43/Fwd/ .Please share delivery code 7720 delivery partner confirmation status. - Shadowfax,8683,7720
856668 Flipkart code valid 10 minutes. share OTP anyone. 368538,368538,856668
Arriving Today: Srinu order partner 914071153148 PIN 5985. Track opt contactless /zwyJan .Please share delivery code 281353 delivery partner confirmation status. - Shadowfax,5985,281353
Default user pin: 0000,nan,0000
Arriving Today: Srinu order partner 914071153148 PIN 7932. Track opt contactless /zwyJan .Please share delivery code 2326 delivery partner confirmation status. - Shadowfax,7932,2326
Arriving Today: Your Imran order with partner 914461710281 PIN 6373. Track and opt for contactless delivery:https://tracker.shadowfax.in/#/track/25AEBB10A6112196BB637BB3271CEB43/Fwd/ .Please share the delivery code 1976 with the delivery partner for confirmation on status. - Shadowfax,6373,1976
Ecom Express Executive 08046809000 PIN 00627 will deliver your https://shopee/ AWB 9081429253 today. Rs 232.0 payable. Delivery code 580787,00627,580787
"MPIN changed successfully @CANDI on 13-Apr-2022 at 21:53:35. If not you, send SUSPECT to 56161. Helpline 18004250018.-Canara Bank.",56161,nan
Dear Savita Chaudhary successfully vaccinated 2nd Dose COVISHIELD 21-10-2021 12:00 PM. may download vaccination Certificate - - CoWIN,2021,nan
Dear Customer request received registering Jio Payments Bank account. share OTP avoid financial loss. Call 1800 891 9999,8919999,nan
Dear Ratan Giri successfully vaccinated 2nd Dose COVAXIN 14-02-2022 02:07 PM. may download vaccination Certificate - - CoWIN,2022,nan
Dear Sandeep successfully vaccinated 1st Dose COVAXIN 23-09-2021 05:14 PM. may download vaccination Certificate - - CoWIN,2021,nan
9944 is otp for your ATM Cash WDL TXN through ATMID S5NL013358621 of Rs.20000 from SBI Acct 2483.Do not share with anyone. Download YONO@ www.yonosbi.com,2483,9944
Dear Prakash successfully vaccinated 2nd Dose COVISHIELD 25-11-2021 09:51 AM. may download vaccination Certificate - - CoWIN,2021,nan
Hi 63065557XX RPL 11 Finale Junglee Rummy Prize Pool: 25000000 2.5 CR Entry Fees - Win -,25000000,nan
Dear Senthilkumar successfully vaccinated 1st Dose COVISHIELD 05-01-2022 11:26 AM. may download vaccination Certificate - - CoWIN,2022,nan
Dear Pooja Jitendra Shambharkar successfully vaccinated 2nd Dose COVISHIELD 18-11-2021 02:35 PM. may download vaccination Certificate - - CoWIN,2021,nan
Jio Delivery Code 561340. Please share representative receiving SIM delivery doorstep activation. SHARE CALL doorstep activation provided. Jio ask password OTP codes call. Jio Express request serviced Nanthakumar Mob-9789957671. Kindly provide valid POI/POA Jio Representative KYC. present address KYC activation process.,nan,561340
"Hi Sp davawala,


As you were looking for a price offer on your 2018 Maruti Suzuki Eeco with SellRight, we'd like you to know that you can avail of your FREE DOORSTEP EVALUATION whenever you like. All you need to do is click here - weurl.co/ika5f4


SellRight by Spinny",2018,nan
otp for creating your Health ID is 669802. This One Time Password will be valid for 10 mins.NHA,nan,669802
229247 Flipkart code valid 10 minutes. share OTP anyone. 862477,862477,229247
"Your Jio Delivery Code is 789676. Please share this with our representative only AFTER receiving SIM delivery and doorstep activation. # DO NOT SHARE ON CALL IF doorstep activation is not provided. Jio does not ask for password, otp or codes on call.Your Jio Express request will be serviced by Nanthakumar S (Mob-9789957671). Kindly provide your valid POI/POA to our Jio Representative for KYC. You will have to be present at the address for KYC activation process.",nan,789676
Jio Delivery Code 825609. Please share representative receiving SIM delivery doorstep activation. SHARE CALL doorstep activation provided. Jio ask password OTP codes call. Jio Express request serviced Nanthakumar Mob-9789957671. Kindly provide valid POI/POA Jio Representative KYC. present address KYC activation process.,nan,825609
133202 Flipkart code valid 10 minutes. share OTP anyone. 862477,862477,133202
924171 Flipkart code valid 10 minutes. share OTP anyone. 113495,113495,924171
"Out for Pickup: ORENICS 33000 mAh Powe... with tracking ID FMPR0276536979 from flipkart.com, will be picked up  before 9pm today by an EKART Wish Master (call 09174003000, PIN 174). Keep the product ready with all accessories and tags for verification.",33000,nan
otp for creating your Health ID is 161513. This One Time Password will be valid for 10 mins.NHA,nan,161513
FB-180952 Facebook confirmation code 53158,53158,180952
"IPL Fiesta is back! Refresh Wardrobe with your Favourite Jersey colors from PETER ENGLAND Spring Collection! Also, Get FREE Rs.2000 shopping on purchase of Rs.6999 at TIRUCHIRAPPALLI Store. Valid till 31Mar.T&C.",6999,nan
FB-696456 Facebook confirmation code 53158,53158,696456
"Out for Pickup: ORENICS 33000 mAh Powe... with tracking ID FMPR0276536979 from flipkart.com, will be picked up  before 9pm today by an EKART Wish Master (call 09174003000, PIN 129). Keep the product ready with all accessories and tags for verification.",33000,nan
